run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_learning_rate,param_max_depth,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda
92,92,xgb,random,0.6418,0.01814827815524108,0.6423120825602152,0.02188935836067976,0.6346496650586249,0.022484447903033944,0.638096369924395,0.01625579699817122,315.8,11.142710621747296,176.4,17.48828179095934,222.0,0.16710351190184977,5.0,0.7123640657375538,0.7394348234235947,8.0,0.2581038426855332,2.365515194635824
93,93,xgb,random,0.653,0.014113823011501892,0.6539736000928547,0.01378569550237899,0.6426769452053688,0.02236856400945096,0.6481559426112917,0.016499726404300023,319.8,11.249888888340188,169.2,8.034923770640265,252.0,0.07608615140153549,8.0,0.5525139031407196,0.5671243952946167,5.0,0.9993765288232714,2.0019678538643824
94,94,xgb,random,0.6426000000000001,0.019095549219648036,0.6447552228646332,0.021949086553475775,0.6294360540754568,0.02294127190289758,0.636703021990696,0.017884858390983024,313.2,11.214276615100948,173.0,16.431676725154983,287.0,0.1477736639312146,8.0,0.8449308072893819,0.7117164894502674,9.0,0.39247196998969147,1.5238142962625791
95,95,xgb,random,0.6491999999999999,0.008863407922464143,0.649707108761999,0.010866746774442337,0.6406778017502607,0.010340465694737667,0.6450865309471525,0.00801710275569364,318.8,5.075431016179808,172.0,8.294576541331088,397.0,0.058603202793627435,9.0,0.6150425401289981,0.6531876829750216,3.0,0.8694621000041144,1.9484753527986953
96,96,xgb,random,0.663,0.0037416573867739447,0.6646082382271623,0.002790808781205032,0.6515292558564237,0.006933214983265743,0.6579933505096951,0.004650510226753281,324.2,3.3704599092705427,163.6,1.4966629547095764,184.0,0.101283994886468,7.0,0.9086176865817284,0.9519402373675536,7.0,0.5862663471555426,1.4496881379544855
97,97,xgb,random,0.6492,0.011408768557561339,0.6506173346040897,0.01637212022468407,0.639055214823075,0.01744007230354137,0.6444766659128628,0.009710459718298538,318.0,8.899438184514796,171.2,14.524462124292244,190.0,0.15326010834824572,6.0,0.7235768926307558,0.6422905045143158,6.0,0.2385812424044581,0.7375072684337953
98,98,xgb,random,0.6396000000000001,0.012109500402576493,0.6426067930176693,0.014750925571776855,0.622195825555744,0.020442079252136487,0.6320052042333677,0.013229086029141735,309.6,10.031948963187562,172.4,11.842297074469968,142.0,0.1150783523176327,6.0,0.5709159328810234,0.8866032008002485,7.0,0.11891018660926722,1.2771190455657404
99,99,xgb,random,0.6612,0.008182909018191522,0.6668230230616812,0.010479517508311336,0.6382681631960437,0.015250317700824948,0.6521002780376329,0.009381421164932837,317.6,7.49933330370107,158.8,8.328265125462805,229.0,0.1383809511602801,3.0,0.9127475870179482,0.515723193813149,6.0,0.19331310365809062,2.4546961232665554
100,100,xgb,random,0.6506000000000001,0.005535341001239224,0.656420542521412,0.008156290154495567,0.6254119092062416,0.012576053659339182,0.6404221675397308,0.006319880551194527,311.2,6.013318551349163,163.0,7.483314773547883,108.0,0.1306733450424329,3.0,0.5743024200376825,0.5783555400430005,6.0,0.6707490847267786,2.1517055102100953
101,101,xgb,random,0.635,0.012280065146407013,0.6347163245583298,0.013740130428823136,0.628604559081396,0.025573216740049653,0.631345553898794,0.015071503200598722,312.8,12.890306435457616,180.2,12.367699866992245,111.0,0.11560013803022097,8.0,0.5006651978391297,0.7670554400753113,9.0,0.3069662196722378,2.287226159366795
102,102,xgb,random,0.6620000000000001,0.013490737563232054,0.6631566160576444,0.016069652820241503,0.6531615395182339,0.02756911010174137,0.6577139055834873,0.015599574951640837,325.0,13.401492454200763,165.4,14.319217855735,356.0,0.08963361525087085,5.0,0.6496408705048509,0.8653701339545172,9.0,0.8090176696206909,0.8344970082978309
