run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion,param_class_weight
56,56,extra,random,0.6254,0.007282856582413256,0.6577905779106291,0.010981512781383467,0.5156658828472845,0.013486654210047784,0.577987282765811,0.009604241673697776,256.6,6.887670143089024,133.6,7.4993333037010705,391.0,10.0,6.0,1.0,gini,
57,57,extra,random,0.6028,0.01791535654124697,0.613375399180228,0.016718448191864563,0.543825200197167,0.04182975998258432,0.5759842764708967,0.02961437159301901,270.6,20.732583051805193,170.2,9.239047569960878,264.0,,7.0,7.0,entropy,balanced
58,58,extra,random,0.6134000000000001,0.015742934923323557,0.6306372025223268,0.017849923726646708,0.5381768522783286,0.023181399497154365,0.580631604005187,0.019703585494416344,267.8,11.617228585166083,156.8,8.133879763065101,341.0,11.0,2.0,8.0,gini,balanced
59,59,extra,random,0.6119999999999999,0.01656502339267894,0.6502226383160757,0.024711405323882052,0.4774906466913933,0.020001956567145082,0.5504397190457541,0.01969436061041184,237.6,9.971960689854328,128.0,11.627553482998906,227.0,5.0,6.0,8.0,gini,
60,60,extra,random,0.6226,0.01036532681587996,0.6454386585126185,0.009571202681158965,0.5357728701526427,0.026226490858498326,0.5852329215361373,0.017977794549820826,266.6,13.047605144240071,146.4,6.740919818541086,255.0,6.0,3.0,7.0,entropy,balanced
61,61,extra,random,0.6112,0.02337006632425336,0.6266986862902211,0.025800205244024006,0.539361470024969,0.034725962571799614,0.5795722138852398,0.030225730307319423,268.4,17.48828179095934,159.6,10.091580649234292,149.0,9.0,4.0,3.0,gini,balanced
62,62,extra,random,0.5826,0.0162308348522188,0.5889593133061919,0.02162669140093169,0.5377825184035943,0.01467972694737364,0.5618913269990627,0.012055023976342477,267.6,7.28285658241325,187.4,17.895250766614026,68.0,11.0,2.0,2.0,gini,balanced
63,63,extra,random,0.6112,0.009987992791347027,0.6308867441076662,0.014246098532114056,0.5281528528601327,0.021603259089650568,0.5746291624035298,0.013626275182705459,262.8,10.533755265810953,154.0,11.419281938896159,94.0,9.0,6.0,8.0,entropy,
64,64,extra,random,0.6078,0.020759576103572076,0.6333109011375744,0.030754716310361897,0.5064378237295257,0.01690967866235334,0.5625002060141909,0.018585812489516865,252.0,8.318653737234168,146.6,17.783138080777533,169.0,9.0,8.0,7.0,gini,
65,65,extra,random,0.616,0.027269030052423964,0.6494763909057851,0.03265943897157708,0.4943783181013794,0.03913926119769484,0.5611753459025751,0.03612508212575802,246.0,19.421637418096342,132.4,10.707007051459339,352.0,8.0,7.0,9.0,entropy,
66,66,extra,random,0.593,0.009899494936611674,0.6314591271421264,0.011118221258794263,0.4368960752466607,0.023000912725045782,0.5162135116226788,0.018663049751764853,217.4,11.46472851837321,126.8,5.844655678480984,70.0,3.0,6.0,8.0,entropy,
67,67,extra,random,0.6032,0.015727682601070013,0.6539790682496667,0.022406699702200196,0.43007603856068133,0.025031681184226967,0.5186483564779306,0.023520597172019903,214.0,12.361229712289955,113.2,8.908422980528035,373.0,3.0,7.0,6.0,gini,
68,68,extra,random,0.6148,0.010684568311354475,0.6312242199224347,0.011976589390363128,0.5429937052031061,0.016561884907374324,0.5837439740949734,0.014085862193661487,270.2,8.44748483277715,157.8,4.874423042781576,369.0,13.0,4.0,8.0,entropy,balanced
69,69,extra,random,0.5887999999999999,0.011303096920755845,0.5963578884027341,0.013288798662758252,0.538167155543704,0.022264074024255103,0.56550480429364,0.015005079165901712,267.8,11.26765281680262,181.4,11.429785649783637,104.0,12.0,5.0,8.0,gini,balanced
70,70,extra,random,0.6036,0.026112066176386717,0.6535455765633801,0.040260887544454255,0.43409291087892815,0.02672625187677415,0.5214803315516121,0.03041262523068676,216.0,13.221195104830729,114.8,15.68948692596415,384.0,3.0,8.0,3.0,entropy,
71,71,extra,random,0.6032,0.02114142852316278,0.6307612734674206,0.027483474778745378,0.4891251121184941,0.027076675346596288,0.5507474427700702,0.025582127701090623,243.4,13.676256797823008,142.6,13.395521639712282,157.0,7.0,7.0,8.0,gini,
72,72,extra,random,0.6058,0.012671227249165737,0.6649822438157964,0.026411793427719328,0.42081727311661127,0.008900732298019035,0.5151928619460031,0.010317180675410568,209.4,4.498888751680798,106.0,12.853015210447703,325.0,3.0,8.0,6.0,gini,
73,73,extra,random,0.6144000000000001,0.019855477833585388,0.6542708416918457,0.022858437823651937,0.4758858371110195,0.03714056949447452,0.5505826363345839,0.03153672945676954,236.8,18.48675201326615,124.8,7.756287771866126,456.0,6.0,4.0,1.0,gini,
74,74,extra,random,0.6237999999999999,0.011320777358467935,0.6518155272896438,0.015040458651772528,0.5241295160521361,0.016582430073401662,0.5809091673768373,0.013711142852500422,260.8,8.034923770640267,139.4,8.16333265278342,464.0,11.0,5.0,5.0,gini,
