run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion,param_class_weight
106,106,extra,random,0.6174,0.008754427451295723,0.6384864768727476,0.005840081560117981,0.5325632509918952,0.029514269323612306,0.5803382981456557,0.0185295058617698,265.0,14.628738838327793,150.0,7.720103626247513,416.0,13.0,4.0,8.0,entropy,balanced
107,107,extra,random,0.6076,0.008428523002282199,0.64279537171448,0.014526789820993374,0.47707853546984713,0.015906829153353265,0.5474017956133149,0.010309695376948721,237.4,8.089499366462675,132.2,10.759182125050211,112.0,5.0,2.0,7.0,entropy,
108,108,extra,random,0.605,0.0271440601237177,0.6457211512273137,0.03836199960688291,0.45660226418753486,0.03432675589998178,0.5346775373744718,0.035239688321794145,227.2,17.02233826476257,124.6,14.319217855735,149.0,4.0,9.0,2.0,gini,
109,109,extra,random,0.6104,0.01372005830891401,0.6443599522371726,0.01707809018937294,0.4843300768466219,0.020609418749033655,0.5528669582233567,0.01825308025635699,241.0,10.198039027185569,133.0,7.4565407529228995,312.0,6.0,7.0,6.0,gini,
110,110,extra,random,0.605,0.01640731544159496,0.6344837927572635,0.024201047477559145,0.488329171818057,0.01742654688833351,0.5516302458972184,0.0166362897061009,243.0,8.87693640846886,140.4,14.291256067959877,178.0,8.0,5.0,1.0,gini,
111,111,extra,random,0.6123999999999999,0.01387948125831799,0.6584320075145768,0.019392003520372608,0.4594215897796417,0.02133587902664068,0.5410303394206815,0.01950599685365841,228.6,10.44222198576529,118.6,8.064738061462382,390.0,5.0,6.0,5.0,entropy,
112,112,extra,random,0.607,0.012569805089976547,0.6276578095905473,0.013734386377357584,0.5160553683547066,0.023658977316933467,0.5662731498647686,0.018955375161397656,256.8,12.006664815842907,152.2,5.268775948927796,150.0,9.0,5.0,9.0,entropy,
113,113,extra,random,0.5904,0.019925862591115114,0.5987250243455498,0.021993054850371972,0.5361882136190638,0.025820247868190285,0.5656031139539957,0.023046306179009993,266.8,12.702755606560334,178.8,11.142710621747295,215.0,,6.0,3.0,entropy,balanced
114,114,extra,random,0.6042,0.010186265262597484,0.6387723586675105,0.013465173471575624,0.4710762567372104,0.017587554504783425,0.5421005800253805,0.014247221832435378,234.4,8.5463442476886,132.6,7.2,124.0,5.0,5.0,7.0,gini,
115,115,extra,random,0.6195999999999999,0.021256528408938297,0.6416524877338816,0.023042082985217278,0.5325414333389897,0.03527484703273338,0.5817122258187911,0.02899577656813129,265.0,17.663521732655695,147.8,10.146920715172659,324.0,6.0,2.0,3.0,gini,balanced
116,116,extra,random,0.62,0.016577092628081696,0.636673160535312,0.019973097979406617,0.5514427933060209,0.027348557033409698,0.590638290767292,0.020331723529045526,274.4,13.661625086350451,156.8,13.166624472506234,359.0,13.0,5.0,7.0,entropy,balanced
117,117,extra,random,0.6117999999999999,0.025039169315294808,0.631915353945102,0.027677293008981543,0.5244826388047159,0.04039411176575381,0.5729031884317483,0.03470200212662128,261.0,20.31748015872047,151.6,10.209799214480176,162.0,5.0,2.0,2.0,gini,balanced
118,118,extra,random,0.6174,0.011038115781237314,0.6403462354247089,0.011463315198433497,0.5273367110292275,0.03135659095656469,0.5778984395170685,0.02029338543611626,262.4,15.564061166674975,147.4,9.624967532412773,306.0,13.0,9.0,3.0,gini,
119,119,extra,random,0.6218,0.018059900331950908,0.6646616922366034,0.02374281277389938,0.48472764296623116,0.03054229246004831,0.5601669400282782,0.02546808280282677,241.2,15.184202316881846,121.8,11.582745788456206,468.0,6.0,4.0,7.0,gini,
120,120,extra,random,0.6134,0.009178235124467022,0.6316893286332905,0.009287078648316969,0.5353656072984089,0.03141434661579369,0.5790534894044144,0.018531046267217504,266.4,15.67928569801571,155.4,11.001818031580054,217.0,10.0,2.0,9.0,gini,balanced
121,121,extra,random,0.5973999999999999,0.014221111067704954,0.6498479315400065,0.018778299749752255,0.4131899832731327,0.023997248711963223,0.5050130403706021,0.02285798561645276,205.6,11.892854997854805,110.6,5.0039984012787215,372.0,3.0,7.0,9.0,gini,
122,122,extra,random,0.6138000000000001,0.029348935244741015,0.6446588725739371,0.03754216543532626,0.4979935839939234,0.035229025463109014,0.5618064540197213,0.03603229949349661,247.8,17.52027397046062,136.4,13.380582946942186,460.0,10.0,4.0,7.0,gini,
123,123,extra,random,0.6159999999999999,0.015962455951387945,0.6286698516178392,0.018473739848747575,0.5578725364233594,0.023442234969144247,0.5909959595813895,0.01928867889411574,277.6,11.723480711802276,164.0,10.21763181955584,415.0,,8.0,3.0,entropy,balanced
124,124,extra,random,0.6180000000000001,0.015504837954651459,0.640920482519072,0.018914980750330445,0.5285399141838986,0.01600632567000939,0.5792940468782499,0.01670075468510259,263.0,7.92464510246358,147.4,8.754427451295715,206.0,6.0,3.0,8.0,gini,balanced
125,125,extra,random,0.6202,0.014634206503941387,0.6711695115175041,0.025710072880506245,0.46543194912446567,0.012480458148490307,0.5495170562812558,0.014727680457121504,231.6,6.248199740725323,113.8,11.838918869558993,495.0,5.0,7.0,3.0,gini,
126,126,extra,random,0.6154,0.01265859391875734,0.6452575156757505,0.020717729660492637,0.5064321673009948,0.012681625853598107,0.5672113920288325,0.010463087189896352,252.0,6.29285308902091,139.0,13.65283853270081,408.0,11.0,9.0,2.0,gini,
127,127,extra,random,0.5988,0.016129476122924778,0.612401739229895,0.019831693833116126,0.5285407222451173,0.012924065553449902,0.5673596580831101,0.015592312630810182,263.0,6.356099432828281,166.6,10.365326815879952,251.0,,6.0,3.0,gini,balanced
128,128,extra,random,0.6172,0.01531535177526133,0.6598368932499656,0.019899508238773036,0.4771181304695644,0.03623992937490175,0.5529645726067243,0.02685991562960461,237.4,17.85049018934774,122.6,12.7216351150314,260.0,5.0,5.0,6.0,entropy,
129,129,extra,random,0.6066,0.015831613941730653,0.6171942919528146,0.01878783080716398,0.5522613593205821,0.01848526237835277,0.5827954528611128,0.016413752024610172,274.8,9.042123644365853,170.6,11.324310133513652,145.0,11.0,9.0,9.0,entropy,balanced
130,130,extra,random,0.6215999999999999,0.016560193235587575,0.6543246736675274,0.019091529486810144,0.5072353801524003,0.027422253938302825,0.57127586634435,0.023383736976560626,252.4,13.632314550361578,133.2,7.166589146867566,459.0,10.0,7.0,4.0,entropy,
131,131,extra,random,0.6215999999999999,0.012611106216347567,0.6436189989001616,0.015622244609133305,0.5369639523890329,0.019581713250672386,0.5853307574316893,0.015948564164563254,267.2,9.927738916792686,148.0,8.414273587185052,421.0,7.0,8.0,8.0,entropy,balanced
132,132,extra,random,0.6206,0.004715930449020643,0.6578636606608187,0.009641543330299358,0.49558475350092523,0.014212373677858447,0.5651098090554849,0.008212672363029958,246.6,6.974238309665077,128.4,7.735631842325487,403.0,8.0,4.0,2.0,gini,
133,133,extra,random,0.6140000000000001,0.010430723848324247,0.6442167978251746,0.015251824601859377,0.5016088498864674,0.015159273561167414,0.5638793735812561,0.01229266113226117,249.6,7.525955088890712,138.0,9.186947262284681,211.0,9.0,2.0,9.0,entropy,
134,134,extra,random,0.6,0.011713240371477068,0.6076827926173276,0.011689825411871028,0.5530387142129888,0.02187903825055815,0.5789446090098318,0.01614227538275531,275.2,11.08873302050329,177.6,6.56048778674269,88.0,9.0,2.0,8.0,gini,balanced
135,135,extra,random,0.6122,0.016928083175599077,0.6346126696529031,0.0173315909183932,0.5188690375182824,0.033991109274982056,0.57061612758457,0.02615977337531578,258.2,17.08098357823694,148.4,7.116178749862878,209.0,12.0,5.0,6.0,entropy,
136,136,extra,random,0.6148,0.020143485299222694,0.6333681953773257,0.023910677430887966,0.5365631540245488,0.022571902026441694,0.5808820280685983,0.022358945336849068,267.0,11.384199576606166,154.6,11.324310133513652,273.0,11.0,3.0,6.0,entropy,balanced
137,137,extra,random,0.5982,0.011461239025515532,0.640459852196959,0.0244683086633365,0.4417298974570314,0.015605238714723909,0.5224078348476904,0.010978129310316463,219.8,7.626270385975047,124.0,14.198591479439079,272.0,3.0,8.0,4.0,gini,
138,138,extra,random,0.6144,0.01330563790278393,0.6610620789407968,0.018405675592628845,0.4618110268033906,0.016167946449743967,0.543718463694424,0.01687334574382667,229.8,8.133879763065103,117.8,6.523802572120037,300.0,5.0,3.0,2.0,entropy,
139,139,extra,random,0.5558000000000001,0.010264501936285062,0.5568963200715098,0.011320535707771254,0.5265431949124466,0.021133882185498526,0.5410588404832684,0.012952309411511525,262.0,10.315037566582102,208.6,11.48216007552586,54.0,,2.0,5.0,entropy,balanced
140,140,extra,random,0.611,0.012312595177297119,0.6223337466353882,0.015296512069066008,0.5558620801111892,0.008640929787326111,0.587181933886147,0.01093344768570764,276.6,4.498888751680798,168.0,9.338094023943002,154.0,14.0,8.0,8.0,gini,balanced
141,141,extra,random,0.6113999999999999,0.011001818031580065,0.6349614710398838,0.015490731558970378,0.5164884891679394,0.02303507122562859,0.5692598833826464,0.015234015635208167,257.0,11.366617790706258,148.0,11.966620241321273,168.0,10.0,3.0,8.0,gini,
142,142,extra,random,0.627,0.010430723848324247,0.6478591309274633,0.01731938936694614,0.5502379740289125,0.008150535589427143,0.5948786982216531,0.0066138656184142105,273.8,4.166533331199931,149.2,12.416118556135006,327.0,11.0,7.0,1.0,entropy,balanced
143,143,extra,random,0.609,0.006985699678629199,0.6360877566628865,0.010724372707321784,0.5011983547873587,0.01191395458721488,0.5605249652580617,0.008403888247999982,249.4,6.086049621881176,142.8,7.520638270785265,128.0,4.0,3.0,2.0,gini,balanced
144,144,extra,random,0.6226,0.01664451861725056,0.655483443670945,0.0212346913056037,0.5092458364645706,0.01915010123470835,0.5731246206438412,0.019495403045856275,253.4,9.520504188329523,133.2,8.908422980528034,409.0,9.0,6.0,9.0,gini,
145,145,extra,random,0.5892,0.013789851340750572,0.5989428190306637,0.021027274955785952,0.5321535639540051,0.013304976026157603,0.5632067490192426,0.008801814981513606,264.8,6.6452990903344595,178.0,17.1697408250678,87.0,14.0,4.0,7.0,entropy,balanced
146,146,extra,random,0.6083999999999999,0.012515590277729624,0.6596918318806961,0.027950155874619707,0.44293390867292104,0.009495599343784045,0.5296215674105229,0.008249804574397963,220.4,4.5431266766402185,114.4,14.8,461.0,4.0,4.0,2.0,gini,
147,147,extra,random,0.6198,0.015471263684650988,0.6459247450950569,0.014811835145493746,0.5208916147487334,0.031870972840766634,0.5764409412301664,0.0250230157564065,259.2,15.917286200857232,141.8,4.707440918375927,264.0,11.0,2.0,8.0,gini,
148,148,extra,random,0.6118,0.012172099243762361,0.6395798295801798,0.01698081115157837,0.5044128223154185,0.015953148359842254,0.5638601904035688,0.013894132731496135,251.0,8.07465169527454,141.6,9.76933979345585,133.0,8.0,5.0,4.0,gini,
149,149,extra,random,0.6007999999999999,0.009152048950918047,0.6491086422309705,0.0076039124395911465,0.4300881594789622,0.027432443477808058,0.5169505722104636,0.021119278980971136,214.0,13.461054936371072,115.6,6.1838499334961226,355.0,3.0,6.0,6.0,gini,
150,150,extra,random,0.613,0.009011104260855057,0.6327349602869741,0.008345615593473263,0.5293487834638352,0.019039344598522558,0.5763399095858937,0.014380690252924044,263.4,9.372299611087985,152.8,3.429285639896449,278.0,7.0,4.0,1.0,entropy,balanced
151,151,extra,random,0.6144000000000001,0.011757550765359266,0.6326923134982396,0.01372368266702905,0.5365744668816109,0.015245472732240787,0.5806373390929299,0.013929296864746199,267.0,7.615773105863909,155.0,6.29285308902091,458.0,13.0,4.0,6.0,entropy,balanced
152,152,extra,random,0.6184,0.01953048898517394,0.6335972036945418,0.017707345259546398,0.5506452368831463,0.038003396344035656,0.5889283536432226,0.02918687319925394,274.0,18.89973544788392,158.0,4.0,270.0,14.0,9.0,6.0,entropy,balanced
153,153,extra,random,0.608,0.023579652245103215,0.6243116645095845,0.027558492044594995,0.5333591912923323,0.039581032521123403,0.5746921756005194,0.030474952660937873,265.4,19.7038067388005,159.8,15.43243337908834,145.0,9.0,6.0,1.0,gini,balanced
154,154,extra,random,0.6084,0.023346091750012486,0.6496043320680067,0.03388015189235392,0.4634061396491398,0.02541868141810293,0.5407402358990566,0.027265952349551682,230.6,12.815615474880635,124.6,14.430523206037957,379.0,5.0,7.0,6.0,entropy,
155,155,extra,random,0.6254,0.022887551201471967,0.6540565501287935,0.02995638113649076,0.5261173466501822,0.028200006025600154,0.5828069060445688,0.025979011693456663,261.8,14.105318146004363,138.8,15.929846201391904,486.0,11.0,3.0,8.0,entropy,
156,156,extra,random,0.6044,0.016548111674750097,0.6173262611181876,0.014256331344680432,0.5373704071820481,0.03390624032170378,0.5743386164560618,0.025072694779865658,267.4,16.95405556201819,165.4,3.3823069050575527,94.0,9.0,6.0,3.0,entropy,balanced
157,157,extra,random,0.6136,0.021740285186721928,0.6310311860766199,0.021723545626011326,0.5357987281116416,0.04311984597912048,0.5790681316670249,0.03331356914251113,266.6,21.29413064672986,155.4,7.863841300535,218.0,11.0,5.0,3.0,entropy,balanced
158,158,extra,random,0.6138,0.012671227249165737,0.6338493918108395,0.016902630900691874,0.5309366237586159,0.02046369384024693,0.5776121159882974,0.015240810677361718,264.2,10.342146779078316,152.8,10.943491216243562,463.0,12.0,8.0,9.0,gini,balanced
159,159,extra,random,0.588,0.007797435475847178,0.6055026118588899,0.011510141267042128,0.49437346973406704,0.012797944550792814,0.5441950929831771,0.009232644456196534,246.0,6.356099432828281,160.4,8.309031231136396,61.0,8.0,9.0,8.0,gini,
160,160,extra,random,0.5975999999999999,0.01904310898986824,0.6465329246981337,0.031213104373275933,0.42282126493903177,0.021601491054389434,0.511099975179372,0.023693563024718083,210.4,10.836973747315254,115.2,12.023310692151309,410.0,3.0,4.0,9.0,entropy,
161,161,extra,random,0.6117999999999999,0.011838918869559003,0.6249148925739497,0.014146173300627422,0.5506492771892398,0.0256586021415977,0.5850997863735258,0.01662846988858536,274.0,12.696456198483101,164.6,11.11035552986492,128.0,10.0,5.0,4.0,gini,balanced
162,162,extra,random,0.6108,0.01939484467584107,0.6252952457245529,0.022879059736342983,0.5438041906054802,0.021664607943650365,0.5816384429832266,0.02141344214919599,270.6,10.855413396089528,162.2,10.943491216243562,493.0,,5.0,3.0,gini,balanced
163,163,extra,random,0.6222000000000001,0.004534313619501858,0.6454293339583608,0.011875622177937955,0.535772062091424,0.015303154884324044,0.5852011511428274,0.004898698101882217,266.6,7.6052613367326165,146.8,11.617228585166083,403.0,10.0,8.0,8.0,entropy,balanced
164,164,extra,random,0.6094,0.012175385004179551,0.6606453783125386,0.02346289062740858,0.4437241925448272,0.011012812141787155,0.530668226277799,0.011448146898485775,220.8,5.6,113.8,11.906300852909773,170.0,3.0,4.0,1.0,entropy,
165,165,extra,random,0.6204,0.01005186549850326,0.6439989740499946,0.011326417062959573,0.5301382592745226,0.022063051217263294,0.5813561049343208,0.016035186148985397,263.8,11.05260150371848,145.8,6.675327707311454,498.0,,4.0,9.0,gini,
166,166,extra,random,0.5962,0.010628264204469147,0.6310890954474354,0.014604328979016952,0.4537877869627403,0.01650330816486565,0.5278419750636509,0.014853332694294714,225.8,8.084553172563094,132.0,6.511528238439882,55.0,4.0,3.0,7.0,entropy,
167,167,extra,random,0.6174,0.014499655168313499,0.6634879805855565,0.019716282349107415,0.4694520536875874,0.02614451065455003,0.5494717172478916,0.021466687908605373,233.6,13.016912076218384,118.6,10.461357464497617,371.0,5.0,4.0,6.0,gini,
168,168,extra,random,0.6106,0.01474584687293342,0.6333631415865992,0.01948001417197454,0.5172933181417825,0.021598730788683098,0.5692191819531794,0.017709327575926605,257.4,10.63202708800161,149.2,12.12270596855339,263.0,13.0,9.0,8.0,gini,
169,169,extra,random,0.6212,0.01619135571840729,0.6419336461438581,0.022901889780640276,0.5414002084797944,0.007671990587392009,0.5873161484338063,0.013720051039798781,269.4,3.7735924528226414,150.6,12.753038853543888,341.0,6.0,3.0,6.0,gini,balanced
170,170,extra,random,0.6156,0.022659214461229697,0.6433710211566471,0.030358643689582392,0.5116570911412247,0.01992845639855817,0.5699152112979418,0.02327807186398981,254.6,9.911609354691095,141.4,14.361058456812994,460.0,14.0,9.0,5.0,entropy,
171,171,extra,random,0.6214000000000001,0.023929897617833658,0.6485117032266152,0.029550716577467263,0.5220899695360921,0.03297623655862217,0.5782016109198697,0.029681267290470527,259.8,16.54569430395715,140.8,13.166624472506234,495.0,14.0,2.0,7.0,entropy,
172,172,extra,random,0.623,0.012853015210447714,0.6497773678313175,0.01707098023478209,0.5265367304226969,0.026766885711865217,0.5812873430591088,0.01893024978155571,262.0,13.236313686219438,141.4,11.672189169131897,332.0,7.0,3.0,3.0,gini,balanced
173,173,extra,random,0.619,0.012992305415129383,0.6560280299622391,0.02162979541992139,0.494388014836004,0.01953437531465363,0.5634831630061125,0.014598719679593182,246.0,9.528903399657276,129.4,13.52922762023021,279.0,7.0,6.0,1.0,entropy,
174,174,extra,random,0.6108,0.005455272678794347,0.6299677779919951,0.007127668271728131,0.5281334593908834,0.013597933660736057,0.5744701631929873,0.008895399296777974,262.8,6.794115100585211,154.4,5.782732917920384,351.0,14.0,7.0,5.0,gini,
175,175,extra,random,0.6172000000000001,0.023523605165875424,0.6360103235371695,0.01995196181007539,0.53578095076483,0.04935039726579212,0.5810545387890511,0.03739801532072725,266.6,24.507957891264628,151.8,2.9257477676655586,326.0,9.0,6.0,7.0,gini,balanced
176,176,extra,random,0.609,0.011436782764396648,0.6232567280102634,0.011336639229862007,0.5414090971532003,0.022157397408846077,0.5793018203952494,0.0159832560860988,269.4,10.89219904335208,162.8,6.4621977685614045,370.0,,7.0,6.0,gini,balanced
177,177,extra,random,0.6108,0.004707440918375932,0.6443730718572799,0.008032705086271772,0.486744563768151,0.016280439629239415,0.5543474554606185,0.009819571397804538,242.2,7.984985911070851,133.8,7.730459236035075,99.0,5.0,9.0,7.0,entropy,
178,178,extra,random,0.6132000000000001,0.01490503270710938,0.6382441611274563,0.022616021601169718,0.5160763779463932,0.01781391199316096,0.5703870727323711,0.01483836156937439,256.8,8.885943956609225,146.0,14.352700094407323,232.0,3.0,7.0,4.0,entropy,balanced
179,179,extra,random,0.622,0.009444575162494084,0.6471308514137075,0.012909246105622597,0.5289390964259452,0.01575217730977698,0.5819626330916962,0.012101195195153567,263.2,7.833262411026457,143.6,7.631513611335565,459.0,5.0,5.0,8.0,gini,balanced
180,180,extra,random,0.6252000000000001,0.014985326155943366,0.6526633950909563,0.013312600036894408,0.5265520835858524,0.031193976622458645,0.5825915793469723,0.023559277147522407,262.0,15.31012736720371,139.2,4.578209256903839,291.0,4.0,8.0,6.0,gini,balanced
181,181,extra,random,0.6128,0.01771327186038764,0.6295322079017757,0.01865571942259144,0.5385752264591566,0.03194121354834064,0.5802061602138924,0.02462772103596349,268.0,15.974980438172686,157.6,9.850888284819801,303.0,11.0,3.0,2.0,gini,balanced
182,182,extra,random,0.6172,0.01490503270710938,0.6380073564519828,0.020372856955906297,0.5345567380184723,0.01480455329873208,0.5815634057975212,0.014434071819304471,266.0,7.536577472566709,151.2,12.237646832622683,367.0,9.0,8.0,9.0,entropy,balanced
183,183,extra,random,0.6174,0.01946894963782075,0.6463815177073104,0.0202464019766046,0.508869279936648,0.03354357255028805,0.5692061523983647,0.02800627707770611,253.2,16.4851448279959,138.2,5.878775382679627,343.0,3.0,6.0,2.0,gini,balanced
184,184,extra,random,0.6195999999999999,0.009178235124467022,0.6441139401500139,0.008064048279145981,0.5261335078745566,0.023832074109413213,0.578943606162317,0.016217692542915583,261.8,11.77115117564973,144.6,5.851495535331117,480.0,6.0,6.0,1.0,gini,balanced
185,185,extra,random,0.6118,0.01361469794009402,0.6286138402390589,0.01634446911845071,0.5377792861587194,0.02221806466316848,0.5794449577403429,0.017003014144865134,267.6,11.092339699089639,158.2,10.342146779078316,306.0,14.0,3.0,2.0,gini,balanced
186,186,extra,random,0.6188,0.010225458424931382,0.6571629940068997,0.012098683214483872,0.4895347991563841,0.03419601364783799,0.5604058715580834,0.022244871364737313,243.6,17.130090484291085,127.2,11.373653766490346,223.0,7.0,6.0,2.0,entropy,
187,187,extra,random,0.611,0.014156270695349124,0.6287931762490956,0.018252231893583604,0.5337850395545967,0.027311395741135773,0.5770067333710049,0.019105537486288182,265.6,13.365627557282897,157.0,12.806248474865697,157.0,7.0,8.0,3.0,entropy,balanced
188,188,extra,random,0.612,0.014724129855444783,0.6318674687510665,0.016906184800911075,0.527338327151665,0.022547933192050593,0.5747767001704738,0.0193463405224681,262.4,11.146299834474219,152.8,7.0823724838503095,324.0,14.0,4.0,2.0,gini,
189,189,extra,random,0.6097999999999999,0.006431174076325416,0.6251640954606563,0.0075546808138952795,0.5389849134970466,0.009997980831820215,0.5788584481339605,0.008321807667863433,268.2,5.035871324805668,160.8,3.655133376499413,113.0,9.0,2.0,6.0,entropy,balanced
190,190,extra,random,0.5873999999999999,0.01149956520917205,0.6253769517150379,0.020531012479254648,0.4276526629657463,0.012462908853127314,0.5077411465992492,0.011678798383056561,212.8,6.209669878504009,127.8,11.320777358467925,128.0,3.0,6.0,6.0,gini,
191,191,extra,random,0.6144000000000001,0.03072848841059387,0.6399165255082461,0.03882849337468166,0.5148537813224731,0.03310522303896191,0.5705141206749709,0.03494568244519354,256.2,16.618062462272793,144.2,16.14187101918486,483.0,14.0,5.0,7.0,gini,
192,192,extra,random,0.609,0.022733235581412534,0.6261419314713335,0.025713799955194398,0.5313422704904124,0.03188645206696035,0.5746442634745039,0.02754656497135149,264.4,15.9449051423958,157.8,11.7881296226331,148.0,7.0,9.0,7.0,entropy,balanced
193,193,extra,random,0.6232,0.020817300497422832,0.6427244171514875,0.02439697037130118,0.5466275565036808,0.032101022786752656,0.5904933456117989,0.02616544808242202,272.0,15.924823389915506,151.2,11.93984924527944,288.0,10.0,8.0,7.0,entropy,balanced
194,194,extra,random,0.6178,0.021094074997496354,0.6359155818160653,0.021722349690236974,0.5410220358294344,0.03240648256175728,0.5845131161654757,0.027807453508666445,269.2,15.917286200857232,153.8,6.209669878504009,275.0,11.0,4.0,7.0,gini,balanced
195,195,extra,random,0.6218,0.01142628548566857,0.6412650089393858,0.015035805765805604,0.5454332420224156,0.018541195775651043,0.5892693460875764,0.013428245755586807,271.4,9.00222194794152,152.0,10.178408519999577,341.0,11.0,3.0,6.0,entropy,balanced
196,196,extra,random,0.5886,0.012338557452149755,0.5948520855656377,0.01552175872529166,0.5446138679466357,0.013380005763804038,0.568492266700687,0.011389223399501016,271.0,6.663332499583072,184.8,11.338430226446693,78.0,12.0,2.0,8.0,gini,balanced
197,197,extra,random,0.6235999999999999,0.016620469307453402,0.6443695147399557,0.016770515253133035,0.5430195631621052,0.0286021611512706,0.5891555940957326,0.022595564186547262,270.2,14.105318146004363,149.0,7.771743691090179,323.0,10.0,6.0,4.0,gini,balanced
198,198,extra,random,0.6208,0.010107423014794632,0.6328440057590317,0.008234779071581452,0.5663014229958061,0.028649523510296787,0.5974293372421747,0.018194624365845194,281.8,14.427751037497147,163.4,6.887670143089026,304.0,,9.0,3.0,entropy,balanced
199,199,extra,random,0.6266,0.021341040274550836,0.6690271740934322,0.02947138807381486,0.49438720677478526,0.021886054815825364,0.5685269284422231,0.024283084997288137,246.0,10.73312629199899,121.8,11.872657663724663,470.0,7.0,8.0,1.0,entropy,
