run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_criterion,param_class_weight
53,53,rf,random,0.6312,0.002039607805437116,0.6577851193889843,0.0047764793468416085,0.5397962069606393,0.010921666291603073,0.5928807626782426,0.005476160366686155,268.6,5.314132102234569,139.8,5.192301994298868,75.0,7.0,2.0,7.0,entropy,
54,54,rf,random,0.6357999999999999,0.015328405005087791,0.6726560384024771,0.024766408991359377,0.5245101128861522,0.015623190390433694,0.5890602846422879,0.013504630017951557,261.0,7.899367063252599,127.6,15.602563891873668,161.0,6.0,2.0,4.0,entropy,
55,55,rf,random,0.6299999999999999,0.018471599822430126,0.6555044216663821,0.023545039175728553,0.5409872891970295,0.019688241640128928,0.5926708428384923,0.020145882137276187,269.2,9.927738916792686,141.6,11.534296684236972,204.0,5.0,4.0,2.0,gini,balanced
56,56,rf,random,0.6314,0.013602940858505573,0.6722180305950889,0.015411815511044924,0.5056329947556828,0.022847477540240583,0.5769946882567443,0.019557363572023527,251.6,11.306635220082056,122.6,6.118823416311342,391.0,4.0,1.0,9.0,entropy,
57,57,rf,random,0.6242,0.010380751417888794,0.6547633060061058,0.009259292886239548,0.5172892778356889,0.02209725771875192,0.5778187329564481,0.016947977410896927,257.4,10.9288608738514,135.6,3.261901286060018,264.0,4.0,2.0,8.0,entropy,balanced
58,58,rf,random,0.6386000000000001,0.016800000000000016,0.6606535687846525,0.021447707220272734,0.563514419852448,0.01988986026297762,0.6080778569647566,0.018237306776996046,280.4,9.76933979345585,144.2,11.496086290559932,341.0,7.0,1.0,9.0,gini,balanced
59,59,rf,random,0.6358,0.015638414241859706,0.6622125920545514,0.016260710277220057,0.5466170517078374,0.027165827566824598,0.5987082536635789,0.021960084163718755,272.0,13.594116374373144,138.6,6.56048778674269,227.0,7.0,1.0,7.0,gini,
60,60,rf,random,0.6378,0.013166624472506243,0.6642921450046133,0.015035292146715836,0.5498307111746785,0.01914015303787407,0.6016032833160109,0.016963989501307824,273.6,9.645724441429994,138.2,5.844655678480983,255.0,8.0,2.0,8.0,entropy,balanced
61,61,rf,random,0.6332000000000001,0.00893084542470645,0.6537280310620479,0.011297566501405452,0.5590749315168118,0.01265786324424267,0.6026443812622395,0.010569478290586064,278.2,6.49307323229917,147.4,6.374950980203691,149.0,11.0,3.0,4.0,gini,balanced
62,62,rf,random,0.6302,0.011889491158161491,0.6527782718071139,0.014316359968569817,0.5490412353639911,0.025847525328688652,0.5961154536089855,0.017558750936030626,273.2,12.796874618437112,145.4,9.666436778875658,68.0,6.0,1.0,3.0,gini,balanced
63,63,rf,random,0.629,0.012361229712289966,0.6537309494761377,0.013116532665603165,0.5405969956283888,0.020401176495580462,0.5917149554034566,0.016791885065632808,269.0,10.119288512538814,142.4,5.0039984012787215,94.0,11.0,1.0,5.0,entropy,
64,64,rf,random,0.6378,0.013962807740565662,0.6595381541079266,0.022194156445698453,0.5651184213716031,0.02126984864367246,0.6081894052565516,0.013314695935832564,281.2,10.514751542475931,145.8,16.666133324799727,169.0,11.0,3.0,8.0,gini,
65,65,rf,random,0.6518,0.016987053894068876,0.6843137890882703,0.020848531892321984,0.5574757783649689,0.021320267884135165,0.6143101856359205,0.019981889790981484,277.4,10.613199329137279,128.0,9.444575162494075,352.0,10.0,2.0,9.0,entropy,
66,66,rf,random,0.6228,0.01730202300310575,0.6476092794443705,0.019638442442939146,0.5305560269245998,0.02950059095975254,0.5829882129027806,0.023635324426576478,264.0,14.601369798755183,143.6,9.76933979345585,70.0,5.0,1.0,9.0,entropy,
67,67,rf,random,0.6365999999999999,0.021685017869487698,0.6711528456758268,0.02956573257616082,0.529750389889538,0.01811845283386735,0.5920663058407913,0.022176366375285934,263.6,8.912911982062877,129.4,13.514436725220923,373.0,5.0,2.0,4.0,gini,
68,68,rf,random,0.642,0.01188276062201037,0.6631129294305327,0.01239983957441941,0.5699239614393187,0.018599581395297902,0.6129403304537282,0.015552489895893671,283.6,9.436100889668358,144.0,4.604345773288535,369.0,11.0,3.0,9.0,gini,balanced
69,69,rf,random,0.6184,0.015396103403134197,0.6478592237912678,0.020995540068478424,0.5124441427682561,0.028005725401613467,0.5717138949391949,0.019659173504631092,255.0,14.085453489327207,139.0,15.033296378372908,104.0,4.0,4.0,3.0,gini,balanced
70,70,rf,random,0.6277999999999999,0.017336666346215484,0.6669803239899921,0.02248458583953011,0.5032225481402471,0.024880263658942567,0.5734731493255261,0.02263322496625082,250.4,12.306096050332128,125.0,9.055385138137417,384.0,5.0,3.0,4.0,entropy,
71,71,rf,random,0.6334000000000001,0.01289340916902897,0.6578200874688548,0.018011317627991543,0.5494307208714132,0.011780770095799432,0.5986662966371009,0.01258105890681201,273.4,6.019966777316964,142.4,10.307278981380101,157.0,9.0,2.0,5.0,gini,
72,72,rf,random,0.6298,0.013196969349058908,0.6642806926818807,0.023013587079762823,0.519694876083812,0.009476845236788496,0.5829060961459877,0.009788557811608168,258.6,4.715930449020639,131.2,14.005713120009277,325.0,5.0,3.0,4.0,gini,
73,73,rf,random,0.639,0.01960612149304397,0.6699809896866182,0.021422305584644433,0.540599419812045,0.033563418628909485,0.5980321799330108,0.027084039964510528,269.0,16.673332000533065,132.4,9.830564581955606,456.0,8.0,3.0,8.0,gini,
74,74,rf,random,0.6279999999999999,0.01733205123463465,0.6544294561174444,0.019523207811506915,0.534159171898863,0.023317624550607347,0.588168687172372,0.021870439480598348,265.8,11.668761716651858,140.2,6.305553108173778,464.0,5.0,4.0,3.0,entropy,balanced
75,75,rf,random,0.6472,0.007467261881037794,0.6736714081341718,0.00758876434824258,0.564296623112167,0.015349378283251522,0.6140733788376455,0.011186394861205592,280.8,7.8587530817554,136.0,4.049691346263317,298.0,11.0,1.0,5.0,entropy,
76,76,rf,random,0.6368,0.018529975715040767,0.6653528251399367,0.02500673704421882,0.544203372847527,0.02622922336940498,0.5984131845139001,0.022459923692769987,270.8,13.13620949893842,136.4,12.92439553712281,211.0,9.0,4.0,9.0,entropy,
77,77,rf,random,0.6432,0.010476640682967045,0.6695176005196667,0.022862533045321532,0.5622958635346214,0.019228739028468705,0.6105941692439526,0.006322003787602937,279.8,9.620810776644555,139.0,18.110770276274835,265.0,8.0,4.0,6.0,entropy,balanced
78,78,rf,random,0.6374,0.017223240113288803,0.6691365459828488,0.022896350908345613,0.537777670036282,0.029652127364429782,0.5958289994130124,0.022061778000256913,267.6,14.8,132.6,13.61763562443936,247.0,7.0,3.0,9.0,gini,
79,79,rf,random,0.637,0.0048166378315169225,0.672450287640979,0.011641694754131505,0.5285504189797419,0.01900609314623619,0.5915129206109506,0.009264140250840271,263.0,9.273618495495704,128.4,10.403845442911962,393.0,6.0,2.0,4.0,entropy,
80,80,rf,random,0.6460000000000001,0.015504837954651459,0.6754096650944665,0.017320892539531656,0.5554766349098609,0.025138446118544516,0.6094160949623937,0.02038942115828406,276.4,12.403225386970922,132.8,8.084553172563096,225.0,8.0,1.0,8.0,entropy,
