score,k,N,thr,tp,fp,features,hp
5250,3,999,0.6647966867680317,723,276,"['V176', 'V191', 'V160']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5250,4,995,0.729940814277259,735,260,"['V176', 'V255', 'V191', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5240,4,1000,0.698578570538062,736,264,"['V255', 'V191', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5235,3,993,0.6449773355867199,720,273,"['V255', 'V191', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5225,4,1000,0.6887245696148419,735,265,"['V176', 'V160', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5220,3,999,0.5894297613144732,721,278,"['V160', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5220,5,1000,0.7277743482306074,748,252,"['V176', 'V160', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5195,4,1000,0.7260684855656658,733,267,"['V176', 'V191', 'V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5195,4,1000,0.6732468475761482,733,267,"['V160', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5190,3,999,0.593135256566091,719,280,"['V255', 'V160', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5185,3,1000,0.6554624055930753,719,281,"['V191', 'V160', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5185,5,998,0.7577719662825324,745,253,"['V176', 'V255', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5175,3,999,0.6464235711734297,718,281,"['V176', 'V191', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5165,4,1000,0.7148909662855075,731,269,"['V191', 'V160', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
