score,k,N,thr,tp,fp,features,hp
5300,4,1000,0.5442974503661149,740,260,"['V255', 'V191', 'V160', 'V215']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5300,5,999,0.5299813945203595,753,246,"['V176', 'V191', 'V160', 'V215', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5280,5,1000,0.5408726745460507,752,248,"['V176', 'V191', 'V160', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5280,4,995,0.5398948711252771,737,258,"['V176', 'V160', 'V215', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5275,3,997,0.5240399588757148,724,273,"['V255', 'V160', 'V215']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5270,5,996,0.5418168977597567,750,246,"['V176', 'V255', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5270,4,1000,0.5299686573887268,738,262,"['V255', 'V215', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5270,4,997,0.5333713344156672,737,260,"['V255', 'V191', 'V215', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5265,3,996,0.5134419991400647,723,273,"['V176', 'V191', 'V380']","{'n_estimators': 158, 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 3, 'criterion': 'gini', 'class_weight': None}"
5260,3,1000,0.5343810341816096,724,276,"['V176', 'V255', 'V191']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5255,4,1000,0.5337927548002916,737,263,"['V176', 'V191', 'V160', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5255,4,1000,0.5371904318518432,737,263,"['V176', 'V160', 'V215', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5250,5,1000,0.5406362571321122,750,250,"['V176', 'V191', 'V160', 'V215', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
