run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_colsample_bytree,param_reg_alpha,param_reg_lambda
88,88,lgbm,random,0.6656000000000001,0.011943198901466903,0.6655891624773942,0.015001846858550926,0.6603953035481969,0.02800385992597911,0.6625605188001519,0.014902618343621951,328.6,13.632314550361578,165.4,13.661625086350453,388.0,0.10607245323196202,40.0,47.0,0.8611118260770707,0.23140504743380175,0.7602565842470284
89,89,lgbm,random,0.6639999999999999,0.009715966241192904,0.6634295956447703,0.007383161869783168,0.659177555291589,0.02712337492313041,0.6610322033182225,0.015202864502957845,328.0,13.341664064126334,166.4,7.525955088890711,386.0,0.06839057014675053,42.0,47.0,0.8174003867960912,0.24792124342910993,1.1608573966115001
90,90,lgbm,random,0.6686,0.01506784656146987,0.667549157124854,0.017955278830561847,0.6664040467705833,0.009313847301345452,0.6668982190912354,0.012321773156730794,331.6,4.454211490264018,165.4,12.208193969625484,257.0,0.053652849151411094,87.0,49.0,0.9522488654026469,0.18607826266704097,1.0354190288263234
91,91,lgbm,random,0.6524000000000001,0.009178235124467022,0.6503668102886482,0.00884077179715268,0.6519332864657825,0.016056458157193858,0.6510758707204191,0.010939193083913367,324.4,7.914543574963751,174.4,5.782732917920384,278.0,0.17861761331076226,49.0,46.0,0.7291885455147279,0.5388698924508895,1.141626589072497
92,92,lgbm,random,0.6734000000000001,0.006887670143089032,0.675707772089592,0.008466746876822551,0.6611775068079158,0.016485940063454857,0.6682164430076641,0.008645045546661748,329.0,8.12403840463596,158.0,7.8230428862431785,222.0,0.16710351190184977,38.0,21.0,0.9121371152954908,0.00799211859966853,0.685489831214652
93,93,lgbm,random,0.6668000000000001,0.01779213309302735,0.6660567100504007,0.016796367428642114,0.6623734374116184,0.024812437256558847,0.6641172963804689,0.019739417492820904,329.6,12.43543324536785,165.2,8.704022058795577,252.0,0.07608615140153549,68.0,23.0,0.5671243952946167,0.5207866877270976,0.7303720377532232
94,94,lgbm,random,0.6577999999999999,0.018170305445974224,0.6572299156063768,0.020802352604293715,0.6539477830840464,0.011821783737661011,0.6555106970230218,0.015376769250503169,325.4,5.642694391866353,170.0,13.579396157414365,287.0,0.1477736639312146,87.0,32.0,0.6941508742077875,0.22282193148487783,0.7314011679873935
95,95,lgbm,random,0.667,0.010526157893552624,0.6646369120750476,0.011255672359743058,0.6680104724733946,0.014371792926947223,0.6662413809575917,0.010645558952160752,332.4,7.059745037889115,167.8,7.833262411026455,397.0,0.058603202793627435,82.0,15.0,0.8594629477947032,0.5329833834341422,2.2389242000082286
96,96,lgbm,random,0.6642,0.014413882197381813,0.6664964662407484,0.017727181958599843,0.6519357106494388,0.012357312217712507,0.6590116505330856,0.0121634891869967,324.4,5.986651818838306,162.6,12.370933675353692,184.0,0.101283994886468,86.0,16.0,0.5462004075378271,0.5619739983126795,1.6428239303723517
97,97,lgbm,random,0.6566,0.013320660644277383,0.6551471016430768,0.01552179985605129,0.6551412895040928,0.016164783007392394,0.6550069274471169,0.01256807542203245,326.0,8.12403840463596,171.8,11.26765281680262,190.0,0.15326010834824572,71.0,17.0,0.6422905045143158,0.7712165880097541,1.0978872644715552
98,98,lgbm,random,0.6666000000000001,0.0098914104151026,0.6653730089409615,0.01604308474034988,0.6659951677939121,0.022325726623660166,0.6652382312013092,0.00916804283403878,331.4,11.128342194594843,167.2,16.412190591142913,142.0,0.1150783523176327,85.0,14.0,0.7489371389373092,0.11891018660926722,1.2771190455657404
99,99,lgbm,random,0.6628000000000001,0.007440430095095316,0.662426886568295,0.010387301788741098,0.6579638473410746,0.007934914713539836,0.6601014989419134,0.005259808429899809,327.4,3.7202150475476548,167.0,8.67179335547152,229.0,0.1383809511602801,60.0,19.0,0.8670313024202227,0.7010090560320762,0.8866262073161812
100,100,lgbm,random,0.6526,0.008522910301065015,0.6518899379524319,0.006317858389112098,0.6475139996606144,0.01714283175542182,0.6496330941382489,0.011380481692713686,322.2,8.423775875461075,172.0,2.898275349237888,108.0,0.1306733450424329,99.0,20.0,0.5023594280954863,0.12156912078311422,1.8414981694535573
101,101,lgbm,random,0.6644,0.013499629624548976,0.663436480398113,0.012372555459861722,0.660755698851745,0.025792203499694633,0.6619015416153081,0.016774632415141703,328.8,13.044539087296261,166.8,8.352245207128439,111.0,0.11560013803022097,83.0,33.0,0.5857608281125515,0.6852769816973125,2.167793725272153
102,102,lgbm,random,0.6734,0.011689311356961942,0.6739282990360647,0.014359643091628984,0.6664080870766769,0.011933842198343626,0.6700587962772304,0.010569857604054975,331.6,5.6780278266313555,160.6,9.666436778875658,356.0,0.08963361525087085,86.0,19.0,0.5861533835866215,0.5283437532726564,0.9765320168755198
103,103,lgbm,random,0.6694,0.011110355529864889,0.6689061887542944,0.012321754535952677,0.6651733695344759,0.024731466611740242,0.6667541432658683,0.013974269972492176,331.0,12.569805089976535,164.0,11.135528725660043,363.0,0.06886410240927554,77.0,16.0,0.9138161238103206,0.587171260125725,1.418707491289424
104,104,lgbm,random,0.6853999999999999,0.01385063175454459,0.6838075093097891,0.01619959408417202,0.6848755181692565,0.020937415127468214,0.6841300456477706,0.014464533646606135,340.8,10.609429767899876,157.8,12.172099243762352,169.0,0.04865121226195061,34.0,48.0,0.6492372877700416,0.18570674210061677,2.044274614648864
105,105,lgbm,random,0.6582000000000001,0.007194442299441986,0.6547152199482446,0.008466454382674045,0.6631887711813047,0.025742612780531565,0.6585967785853402,0.01194806707601168,330.0,12.743625857659193,174.2,10.777754868245983,292.0,0.07923980012555377,93.0,46.0,0.8247726898852246,0.9160376901599767,1.968839601631307
106,106,lgbm,random,0.6622,0.0067349832961931,0.6607999219889142,0.008579382515045546,0.660371869772854,0.01621945260869618,0.6604330357623895,0.008140853731995563,328.6,8.039900496896712,168.8,8.565045242145542,395.0,0.10144038280423547,40.0,20.0,0.926029908737652,0.7388102113969359,2.448863178686053
107,107,lgbm,random,0.6600000000000001,0.004147288270665548,0.658526292636745,0.005698983222482532,0.6579573828513248,0.0016448494499368492,0.6582309568470814,0.003246194093887169,327.4,1.019803902718557,169.8,4.019950248448356,162.0,0.17865872311008818,90.0,24.0,0.5382522725510016,0.8958253215347363,1.2706916205956225
108,108,lgbm,random,0.6571999999999999,0.01954891301325982,0.6541990857050719,0.01850062202884258,0.6603710617116353,0.03689274563997947,0.6568229557259442,0.023386622345639596,328.6,18.358649187780674,173.8,13.731715115017497,199.0,0.1660827953007679,95.0,32.0,0.5645571432898695,0.6862414577769264,1.8673498819290386
109,109,lgbm,random,0.666,0.017674840876228576,0.6645137824679835,0.017131721600719678,0.6639903679102728,0.02359596672689401,0.6641600711415739,0.01901956850760654,330.4,11.706408501329518,166.8,9.195651146058118,362.0,0.12530708434964685,33.0,25.0,0.5972846241030003,0.7749536640090757,1.915786882361624
110,110,lgbm,random,0.6602,0.022265668640308097,0.6591885104829374,0.026994082699626824,0.6595516876358553,0.018966477538818406,0.659039846206522,0.01840290230793636,328.2,9.682974749528164,170.4,20.450916849862747,228.0,0.1519279911277317,35.0,35.0,0.8063912907776708,0.6794905525204168,1.8649262584451798
111,111,lgbm,random,0.6712,0.009987992791347027,0.6742373810915581,0.012904097601569537,0.6571557861223567,0.017409930337700996,0.6653864117856771,0.010502683960564044,327.0,8.648699324175862,158.2,10.796295661012623,312.0,0.09540885290567552,61.0,12.0,0.6476626522014381,0.1491629571394898,0.5449566490883235
112,112,lgbm,random,0.6618,0.016129476122924778,0.6567759168493612,0.01564849310129936,0.6708015159228464,0.01965108153423798,0.6636864793024644,0.017171596171731522,333.8,10.087616170334794,174.4,7.709734106958554,200.0,0.13613633130524821,85.0,15.0,0.7382508135472597,0.6089615362342131,1.0053604402364154
113,113,lgbm,random,0.6784000000000001,0.008522910301064987,0.6806781281253707,0.011545477822058272,0.6668080773799423,0.01253096567636879,0.6735563708881939,0.008219586743514471,331.8,6.046486583132389,155.8,8.726969691708572,265.0,0.04847894274507119,94.0,12.0,0.7182467737893041,0.12767773423351192,1.6517157488498662
114,114,lgbm,random,0.679,0.006572670690062,0.6771891942585793,0.004651328757467,0.6780441686262152,0.01447539382204336,0.6775701175939248,0.009239345839688533,337.4,7.445804187594513,160.8,2.3151673805580453,174.0,0.048962816374836786,29.0,24.0,0.689661641170102,0.20538570375512588,1.6829465139070363
